"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"CUSTOM_LIPOLYSIS_LIPOGENESIS",4.63043324370235e-05,0.000102674824099487,0.557332238758646,-0.692289741904866,-2.11506679121068,24,"Gpam, Mccc2, Prkab2, Pcx, Prkaa2, Acaca, Fasn, Cidea, Aspg, Scd1, Hadh, Acly"
"HALLMARK_ADIPOGENESIS",6.33137178210653e-32,1.61449980443716e-30,1.46752397671296,-0.655014830431678,-2.98521965475077,200,"Tst, Jagn1, Uqcr11, Ltc4s, Aifm1, Ubc, Riok3, Adipoq, Atp5po, Mrpl15, Idh1, Gpam, Ccng2, Mccc1, Ak2, Acadm, Rab34, Retn, Acox1, Cmbl, Pemt, Pex14, Miga2, Sorbs1, Qdpr, Coq3, Gadd45a, Decr1, Pgm1, Slc66a3, Lpcat3, Abcb8, Echs1, Dnajc15, Ptcd3, Angpt1, Aco2, Uqcrc1, Lep, Bckdha, Slc19a1, Acaa2, Suclg1, Tob1, Cpt2, Orm1, Hibch, Acadl, Dnajb9, Dhrs7, Mylk, Ddt, Cd151, Uqcrq, Nkiras1, Crat, Ywhag, Grpel1, Idh3g, Cmpk1, Gpx4, Dhcr7, Taldo1, Prdx3, Cd302, Sdhc, Cdkn2c, Uqcr10, Mdh2, Acads, Pfkl, Ech1, Ndufa5, Aldoa, Cs, Mtch2, Ndufab1, Gpd2, Tkt, Phyh, Esrra, Dlat, Coq9, Dld, Vegfb, Cidea, Rmdn3, Cox7b, Slc25a10, Chchd10, Elovl6, Reep6, Ghitm, Tank, Scp2, Cyc1, Cox8a, Idh3a, Hspb8, Agpat3, Nabp1, Hadh, Uck1, Ptger3, Gbe1, Rnf11, Mrap, Slc25a1, Me1, Acly"
"HALLMARK_ALLOGRAFT_REJECTION",2.23769962186023e-07,8.77866774729781e-07,0.690132458796796,0.43351922070456,1.94477028528592,188,"Ctss, Irf4, Cd79a, Capg, Ly75, Cxcl13, Fcgr2b, Timp1, Il2ra, Il2rg, H2-Ob, Cd96, H2-Oa, Itgb2, Cd80, Ptprc, Icam1, Ccl11, Tap2, Tgfb2, Bcat1, Eif3a, Gpr65, Ets1, Hcls1, Igsf6, Cfp, Srgn, Cd74, Ptpn6, Ltb, H2-DMb2, Rpl3l, Flna, Lyn, Itgal, Spi1, Ereg, Il18rap, Elf4, Il4ra, Tlr3, Dyrk3, Brca1, Cdkn2a, Ccl22, Gcnt1, Sit1, Stab1, Wars1, Tlr6, Tgfb1, Eif3d, F2r, Cd4, Il10, Icosl, Cd28, Fyb1, Itk, Jak2, Psmb10, Akt1, Prkcb"
"HALLMARK_ANDROGEN_RESPONSE",0.227722772277228,0.241955445544554,0.126875729929857,0.276445575349415,1.12554129875196,95,"Krt8, Maf, Plpp1, Spdef, Sgk1, Akap12, Arid5b, Pgm3, Aldh1a3, Ccnd1, Mak, Krt19, Tsc22d1, Actn1, Cdk6, Lifr, Gucy1a1, Rrp12, Pias1, Iqgap2, B4galt1"
"HALLMARK_ANGIOGENESIS",3.83503241153763e-05,8.89030240856451e-05,0.557332238758646,0.620256855984414,2.10880241211405,36,"Spp1, Kcnj8, Timp1, Slco2a1, Cxcl5, Vtn, Fstl1, Stc1, Pglyrp1, Jag2, Nrp1, Ptk2, Postn, Tnfrsf21, Pdgfa, App, Col3a1, S100a4, Prg2, Col5a2"
"HALLMARK_APICAL_JUNCTION",7.20230817481513e-13,4.59147146144464e-12,0.921426003494898,0.51476526997706,2.31012802631059,190,"Myl9, Itgb4, Lamc2, Lima1, Col16a1, Syk, Cx3cl1, Slit2, Cdh3, Cldn7, Src, Col17a1, Nfasc, Mdk, Tgfbi, Ptprc, Icam1, Actn2, Amigo2, Jam3, Cnn2, Vwf, Mmp2, Itga3, Myl12b, Itga9, Ctnnd1, Myh9, Icam2, Nectin4, Flnc, Sirpa, Adam15, Sorbs3, Pecam1, Nlgn3, Vcam1, Evl, Actn1, Actg2, Cldn8, Ldlrap1, Mapk13, Cadm3, Cldn15, Nrxn2, Msn, Layn, Cd34, Jup, Pik3r3, Pcdh1, Gtf2f1, Cdh11, Ptk2, Cdh6, Thbs3, Icam5, Cd209b, Cd276, Dhx16, Speg, Wnk4, Itgb1, Fbn1, Ppp2r2c, Mapk11, Myh10, B4galt1, Cdh15, Nectin1, Cldn5, Alox8, Sdc3, Nrtn, Ctnna1, Fyb1, Nrap, Actn4, Tspan4, Actn3, Cldn19, Itga2, Mpzl1, Vasp, Zyx, Egfr, Plcg1, Itga10, Thy1, Nlgn2, Nectin2, Akt3"
"HALLMARK_APICAL_SURFACE",1.17736891649135e-05,2.859324511479e-05,0.593325476396405,0.623063997112038,2.15399945648767,42,"Gata3, Cx3cl1, Il2rg, Srpx, Plaur, Afap1l2, Ephb4, Atp8b1, Scube1, Hspb1, Crocc, Crybg1, Lypd3, Lyn, Ntng1, Brca1, Adam10, B4galt1, App, Gas1, Ncoa6, Thy1"
"HALLMARK_APOPTOSIS",1.16693959783229e-05,2.859324511479e-05,0.593325476396405,0.409107168190152,1.80139779721182,160,"Krt18, Rhob, Gpx3, Wee1, Timp1, Clu, Bcl2l1, Cd14, Plat, Cd44, Txnip, Atf3, Erbb3, Timp2, Tgfb2, Mmp2, Lmna, Cd69, Hspb1, Ccnd1, Dcn, Mcl1, Timp3, Pmaip1, Pdgfrb, Madd, Ereg, Hmox1, Bgn, Fez1, Cd38, Cdc25b, Top2a, Pak1, Gna15, Birc3, Brca1, Erbb2, Igf2r, Ptk2, Psen1, Rnasel, Sptan1, Psen2, Rock1, Sqstm1, F2r, Eno2, App, Ctnnb1, Avpr1a, Satb1"
"HALLMARK_BILE_ACID_METABOLISM",9.34820248279721e-07,2.64865737012587e-06,0.659444398037935,-0.481190169767671,-2.02020296161575,110,"Aldh8a1, Aldh9a1, Rxra, Apoa1, Abcg4, Serpina6, Sult1b1, Hsd17b4, Aldh1a1, Pex7, Pex16, Idh1, Aqp9, Gstk1, Slc27a2, Slc35b2, Pex12, Pxmp2, Acsl5, Akr1d1, Pex19, Fads2, Pex26, Mlycd, Abcd3, Amacr, Gnmt, Hao1, Dhcr24, Rxrg, Pex11a, Hsd17b6, Crot, Gclm, Pipox, Pex13, Nr1i2, Isoc1, Gnpat, Ttr, Pnpla8, Nudt12, Phyh, Dio2, Agxt, Gc, Scp2, Idi1"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",3.88875350515241e-07,1.23954017976733e-06,0.674962860011025,-0.565597528739303,-2.21741797842066,71,"Gpx8, Atf5, Tnfrsf12a, Fads2, Fdft1, S100a11, Cpeb2, Mvk, Hsd17b7, Adh4, Dhcr7, Mal2, Hmgcs1, Sqle, Mvd, Pcyt2, Ech1, Gldc, Tm7sf2, Fasn, Sc5d, Pmvk, Cyp51, Fabp5, Fdps, Acat2, Lss, Nsdhl, Idi1, Acss2"
