"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"CUSTOM_LIPOLYSIS_LIPOGENESIS",0.00139006399731,0.00373122441383211,0.45505986738723,0.580764922667912,1.86664564022389,23,"Cidea, Aspg, Acot1, Scd1, Gpam, Hadh, Pnpla2, Acot5, Acsl1, Prkab2, Fasn, Acaca, Pcx, Mccc2, Prkaa2, Lipe"
"HALLMARK_ADIPOGENESIS",1.0491967311833e-05,4.11607948387295e-05,0.593325476396405,0.353606007375457,1.78576885665133,200,"Cidea, Ephx2, Gpd2, Chchd10, Aco2, Acaa2, Elovl6, Suclg1, Uqcrc1, Acadl, Retsat, Cs, Dlat, Crat, Idh3g, Idh3a, Angpt1, Dld, Acads, Cyc1, Acadm, Cpt2, Immt, Abcb8, Bckdha, Gpam, Gbe1, Enpp2, Decr1, Pfkl, Acox1, C3, Rmdn3, Gphn, Agpat3, Lpcat3, Mdh2, Cyp4b1, Hadh, Stat5a, Ppp1r15b, Coq9, Baz2a, Samm50, Slc25a1, Rreb1, Tst, Cavin1, Slc19a1, Coq3, Gpat4, Mgll, Ghitm, Aldoa, Phldb1, Me1, Aifm1, Lama4, Sorbs1, Ppm1b, Angptl4, Mccc1, Stom, Cox6a1, Ptcd3, Cat, Pgm1, Adcy6, Itga7, Dgat1, Hibch, Slc27a1, Fzd4, Dhrs7b, Chuk, Abca1, Esyt1, G3bp2, Map4k3, Lipe, Ech1"
"HALLMARK_ALLOGRAFT_REJECTION",6.59064163854851e-13,8.40306808914935e-12,0.921426003494898,-0.505051691206889,-2.29667557623902,190,"Il7, Glmn, Ccnd2, Gcnt1, Ptpn6, Cd1d2, Il13, H2-DMa, Icosl, Ccr2, Abi1, Eif3d, Il27ra, Eif5a, Srgn, Il18, Ccl11, Was, Cd80, Stat4, Ube2n, Cd4, Il2rb, Ifng, Irf8, Cd28, Sit1, Cd86, Ncf4, Spi1, Csk, Nck1, Cd96, Nme1, Tpd52, Cd40lg, Fas, Il2ra, Tap1, Crtam, Cd79a, Bcl10, Capg, Igsf6, Cd247, Tlr1, Npm1, H2-Ob, Psmb10, Tnf, Il15, Il12rb1, H2-Oa, Gzmb, Cxcr3, Ly86, Cd40, H2-DMb2, Ifngr2, Pf4, Mbl2, Gpr65, Il10, Cd8a, Itk, Stat1, Socs1, Ccl7, Ltb, Trat1, Cd2, Gzma, Il12b, Rps3a1, Rps9, Rpl9, Il4, Lck, Cd7, F2, Rps19-ps6, B2m, Cd8b1, Cdkn2a, Klrd1, Cd3e, Zap70, Ccl5, Cd3g, Cd3d, Irf7"
"HALLMARK_ANDROGEN_RESPONSE",0.00163618966242371,0.00397360346588616,0.45505986738723,0.35867358308032,1.59464150751737,95,"Aldh1a3, Krt8, Tmprss2, Bmpr1b, Iqgap2, Acsl3, Xrcc6, Elk4, Rps6ka3, Cdc14b, Krt19, H1f0, Map7, Steap4, Mak, Ncoa4, Plpp1, Abhd2, Herc3, Ptpn21, Zbtb10, Elovl5, Gucy1a1, Slc38a2, Gsr, Rrp12, Zmiz1, Pgm3, Akap12, Srf, Ndrg1, Itgav, Cdk6, Spdef, Stk39, Insig1"
"HALLMARK_ANGIOGENESIS",0.153061224489796,0.210976282404854,0.181383128498408,0.347350488268743,1.24571433978659,36,"Kcnj8, Fstl1, Fgfr1, Ptk2, Vav2, Vtn, Postn, Timp1, Jag2, Nrp1, App, Vegfa, Jag1, Msx1, Itgav, Tnfrsf21, Col3a1, Lrpap1, Vcan, Lpl"
"HALLMARK_APICAL_JUNCTION",2.42610388355324e-11,2.47462596122431e-10,0.863415391606693,0.447864998509919,2.23091794634178,191,"Mpzl2, Lamc2, Cldn5, Nrtn, Grb7, Cdh1, Pik3r3, Tnfrsf11b, Cldn11, Nectin2, Adra1b, Adamts5, Actg2, Crat, Cldn15, Fbn1, Pcdh1, Cldn9, Cdh4, Cadm3, Mpzl1, Shroom2, Itga3, Cdh3, Irs1, Atp1a3, Ppp2r2c, Pals1, Tjp1, Jup, Cdh6, Crb3, Nherf4, Wnk4, Tmem8b, Thbs3, Ptk2, Cd274, Vav2, Itga9, Nf1, Itgb4, Fscn1, Hadh, Nrxn2, Zyx, Ctnna1, Dlg1, Ldlrap1, Inppl1, Nectin3, Myh10, Thy1, Slit2, Icam2, Lima1, Flnc, Cd34, Pkd1, Src, Cd276, Pecam1, Cercam, Cldn19, Nectin1, Amigo1, Adam23, Tsc1, Negr1, Rasa1, Msn, Adam9, Pik3cb, Itgb1, Myl9, Insig1, Parva, Adam15, Ctnnd1, Nf2, Nexn, Cntn1, Sympk, Icam5, Plcg1, Vcl, Nlgn3, Icam1, Actn1, Arhgef6, Myh9, Tro, Actn4, Nrap, Wasl, Dhx16"
"HALLMARK_APICAL_SURFACE",4.38843089729809e-05,0.000149206650508135,0.557332238758646,0.548075878761369,2.0305369583874,42,"Mal, Atp6v0a4, Ephb4, Ntng1, Efna5, Shroom2, Slc22a12, Tmem8b, Crocc, Adam10, Afap1l2, Ncoa6, Ghrl, Thy1, Gas1, App, Gstm5, Crybg1, Dcbld2, Flot2"
"HALLMARK_APOPTOSIS",0.0305391238885139,0.0502417844617487,0.352487857583619,-0.307202480601084,-1.36637545628066,161,"Ank, Cdkn1b, Ebp, Cd44, Sc5d, Bnip3l, Il1b, Pak1, Bcl2l10, Emp1, Cav1, Ccnd2, Cdkn1a, Ier3, Etf1, Dffa, Birc3, Gch1, Sod1, Egr3, Il18, Pmaip1, Dnaja1, Anxa1, Dap, Pdcd4, Mcl1, Fas, Tap1, Gna15, Bcl10, Wee1, Tspo, Rhob, Eno2, Gadd45b, Gpx4, Tnf, Btg2, Bid, Bcl2l1, Lgals3, Bax, Gadd45a, Nefh, Casp4, Gpx1, Casp1, Cd2, Sat1, Lef1, Ddit3, Atf3, Cd69, Isg20, F2, Ifitm3, Gpx3"
"HALLMARK_BILE_ACID_METABOLISM",0.0177284948096596,0.0301384411764213,0.352487857583619,0.302193142977447,1.37557031653616,109,"Dio2, Ephx2, Bbox1, Tfcp2l1, Fads2, Mlycd, Retsat, Abcd3, Nudt12, Bmp6, Cyp8b1, Efhc1, Pecr, Abca6, Abca5, Abca3, Abca2, Abca4, Nr3c2, Abca8b, Pfkm, Amacr, Abcd1, Idh2, Npc1, Slc22a18, Pex1, Acsl1, Dio1, Slc23a2, Slc29a1, Abca9, Aldh9a1, Nedd4, Pipox, Pnpla8, Cat, Hsd17b4, Atxn1, Hsd17b11"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.679245283018868,0.721698113207547,0.0787113806986485,0.210658247400259,0.892199698454758,71,"Gstm7, Fads2, Stard4, Abca2, Trib3, Niban1, Aldoc, Srebf2, Acat2, Ctnnb1, Fdft1, Atxn2, Antxr2, Avpr1a, Ldlr, Jag1, Lss"
